"Catch","Year","scenario","SE.min","SE.max"
33352014.2635424,2012,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2013,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2014,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2015,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2016,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2017,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2018,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2019,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2020,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2021,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2022,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2023,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2024,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2025,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2026,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2027,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2028,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2029,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2030,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2031,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2032,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2033,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2034,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2035,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2036,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2037,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2038,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2039,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2040,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2041,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2042,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2043,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2044,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2045,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2046,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2047,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2048,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2049,"MSY",26494245.1076231,40595432.0877896
33352014.2635424,2050,"MSY",26494245.1076231,40595432.0877896
